"source_id","title","authority","original_url","final_url","http_status","https","official_domain","redirected","classification","relation_check","reason","last_verified","checked_at","affected_results","affected_count"
"SRC97-TRIP","رحلة القضية في وزارة العدل","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC99-CLAIM","صحيفة دعوى","وزارة العدل","https://moj.gov.sa/ar/eServices/Pages/928b8f02-19a7-482b-ba0e-29a151d9a900.aspx","https://moj.gov.sa/ar/eServices/Pages/928b8f02-19a7-482b-ba0e-29a151d9a900.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC99-FIRST","محاكم الدرجة الأولى","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Courts/Pages/FirstCourts.aspx","https://www.moj.gov.sa/ar/Ministry/Courts/Pages/FirstCourts.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC99-TRIP","رحلة القضية","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-MASTER-GENERAL","1"
"SRCNEXT-CLAIM","صحيفة دعوى","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/928b8f02-19a7-482b-ba0e-29a151d9a900.aspx","https://www.moj.gov.sa/ar/eservices/pages/928b8f02-19a7-482b-ba0e-29a151d9a900.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-CIVIL-SALE-DELIVERY | R-CIVIL-SALE-QUANTITY | R-CIVIL-SALE-DEFECT | R-CIVIL-SALE-HIDDEN-DEFECT | R-CIVIL-SALE-PRICE","5"
"SRCNEXT-TRIP","رحلة القضية في وزارة العدل","وزارة العدل","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","https://www.moj.gov.sa/ar/Ministry/Pages/CaseTripInMOJ.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC-ABSHER-CIVIL-SERVICES","خدمات الأحوال المدنية الإلكترونية","منصة أبشر — وزارة الداخلية","https://www.absher.sa/","https://www.absher.sa/","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-21","2026-09-23T15:19:33.595Z","","0"
"SRC-ABSHER-MOTOR-SALE","مبايعة المركبات","منصة أبشر — وزارة الداخلية","https://www.absher.sa/wps/portal/individuals/static/vot/","https://www.absher.sa/wps/portal/individuals/static/vot/","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-20","2026-09-23T15:19:33.595Z","R-SP-MOTOR-SALE","1"
"SRC-BALADY-BUILDING-INQUIRY","استعلام عن رخصة بناء","منصة بلدي — وزارة البلديات والإسكان","https://balady.gov.sa/ar/services/استعلام-عن-رخصة-بناء","https://balady.gov.sa/ar/services/استعلام-عن-رخصة-بناء","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-21","2026-09-23T15:19:33.595Z","R-BALADY-BUILDING-INQUIRY","1"
"SRC-BALADY-BUILDING-LICENSE","إصدار رخصة بناء — الرخص الإنشائية","منصة بلدي — وزارة البلديات والإسكان","https://balady.gov.sa/ar/services/10472","https://balady.gov.sa/ar/services/10472","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-21","2026-09-23T15:19:33.595Z","R-BALADY-BUILDING-LICENSE","1"
"SRC-BALADY-BUILDING-RENEW","تجديد رخصة بناء","منصة بلدي — وزارة البلديات والإسكان","https://balady.gov.sa/ar/services/تجديد-رخصة-بناء","https://balady.gov.sa/ar/services/تجديد-رخصة-بناء","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-21","2026-09-23T15:19:33.595Z","R-BALADY-BUILDING-RENEW","1"
"SRC-BALADY-COMMERCIAL-ISSUE","إصدار رخصة تجارية","وزارة البلديات والإسكان — بلدي","https://www.balady.gov.sa/ar/services/11010","https://www.balady.gov.sa/ar/services/11010","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-21","2026-09-23T15:19:33.595Z","R-BALADY-LICENSE-ISSUE","1"
"SRC-BALADY-COMMERCIAL-RENEW","تجديد رخصة نشاط تجاري","وزارة البلديات والإسكان — بلدي","https://www.balady.gov.sa/ar/services/10485","https://www.balady.gov.sa/ar/services/10485","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-21","2026-09-23T15:19:33.595Z","R-BALADY-LICENSE-RENEW","1"
"SRC-BALADY-CONSTRUCTION-PRODUCT","الرخص الإنشائية — إصدار شهادة إشغال","منصة بلدي — وزارة البلديات والإسكان","https://balady.gov.sa/ar/products/الرخص-الإنشائية?page=1","https://balady.gov.sa/ar/products/الرخص-الإنشائية?page=1","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-21","2026-09-23T15:19:33.595Z","R-BALADY-OCCUPANCY","1"
"SRC-BALADY-OBJECTION","منصة الاعتراضات الموحدة — الاعتراض على الغرامات البلدية","منصة بلدي — وزارة البلديات والإسكان","https://balady.gov.sa/ar/all-products/10634","https://balady.gov.sa/ar/all-products/10634","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-17","2026-09-23T15:19:33.595Z","R-MUN-FINE-OBJECTION","1"
"SRC-BALADY-REPORTS-940","تقديم بلاغ بلدي","وزارة البلديات والإسكان — منصة بلدي","https://balady.gov.sa/ar/services/%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%A8%D9%84%D8%A7%D8%BA","https://balady.gov.sa/ar/services/%D8%AA%D9%82%D8%AF%D9%8A%D9%85-%D8%A8%D9%84%D8%A7%D8%BA","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-23","2026-09-23T15:19:33.595Z","R-MUN-BALAG-940","1"
"SRC-BOE-ADMIN-PLEADINGS","نظام المرافعات أمام ديوان المظالم","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f2f7b465-b576-4f47-a8e7-a9a700f27202/1","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f2f7b465-b576-4f47-a8e7-a9a700f27202/1","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-22","2026-09-23T15:19:33.595Z","R-ADMIN-DISCIPLINARY","1"
"SRC-BOE-ARBITRATION","نظام التحكيم","هيئة الخبراء بمجلس الوزراء","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5535039e-13da-43f6-8f53-a9a700f26485/1","https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/5535039e-13da-43f6-8f53-a9a700f26485/1","","YES","YES","NO","BLOCKED_FROM_AUTOMATED_CHECK","REQUIRES HUMAN CHECK","تعذر التحقق الآلي من نطاق رسمي؛ يلزم فتحه يدويًا، ولا يعد رابطًا مكسورًا.","2026-09-16","2026-09-23T15:19:33.595Z","","0"
